"";"no_razao";"raiz";"Total_por_raiz"
"2656";"PADOVANO BUFFET E EVENTOS LTDA";6926872;61615,06
"2657";"FANTASIA DE BUZIOS COMESTIVEIS LTDA";32564122;61570,66
"2658";"TRANSPONTUAL EXPRESS TRANSPORTES LTDA ME";3319508;61526,3
"2659";"TECHSOLRIO - SECURITY SOLUCOES EM SEGURANCA LTDA";8935821;61518,99
"2660";"B&B AMERICAS RESTAURANTE LTDA";21249785;61506,52
"2661";"POLIMIX CONCRETO LTDA";29067113;61501,86
"2662";"TOCK ROUPAS LTDA";30295216;61480
"2663";"PRIME CARGO LOGISTICA INTEGRADA LTDA";7588299;61446,38
"2664";"NORDI E MARTINS COMERCIO DE EQUIP MEDICOS E ODONTOLOGICOS LTDA";8968847;61215,31
"2665";"PLASTVERDE INDUSTRIA E COMERCIO DE EMBALAGENS DE POLIMERO EIRELI";10764647;61202,69
"2666";"ISSA INDUSTRIA, COMERCIO E DISTRIB DE PRODUTOS TEXTEIS EIRELI";16559560;61126,19
"2667";"RJ REDE QUALLY DE HORTIFRUT LTDA";5273676;61112,93
"2668";"POLICARPO EXPRESS LTDA";12301120;61087,86
"2669";"MARTON SERVICOS DE USINAGEM E REPAROS INDUSTRIAIS LTDA ME";1295284;61030
"2670";"MAQUIFER COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA - EPP";23784834;61021,91
"2671";"COOPERATIVA LANGUIRU LTDA";89774160;60960,02
"2672";"HELLPA SERVICOS DE TRANSPORTE LTDA ME";5585103;60941,82
"2673";"CHURRASCARIA E PIZZARIA DO DELEI LTDA ME";7362167;60908,48
"2674";"BRG 13 DISTRIBUIDORA DE GENEROS ALIMENTICIOS LTDA";7154317;60758,17
"2675";"COMERCIO DE DOCES EBENEZER DO LOTE XV LTDA ME";15144662;60613,9
"2676";"FLRX FLAMENGO 1 COMERCIO DE ALIMENTOS LTDA";20020785;60576,34
"2677";"ORIGEM RESTAURANTE E BAR LTDA";21692433;60520,06
"2678";"M C W DE SOUSA BAZAR E MATERIAL DE CONSTRUCAO - ME";14590256;60455,8
"2679";"CSN ENERGIA S/A";3537249;60430,85
"2680";"TUTTI FESTAS BAZAR EIRELI EPP";18468110;60423,4
"2681";"DFV COMERCIAL E INDUSTRIAL LTDA";1282769;60395,51
"2682";"SERVIX LOCACOES TRANSPORTES E SERVICOS LTDA";8851671;60265,1
"2683";"MV - MODA E ESTILO CONFECCOES EIRELI";18654785;60182,88
"2684";"ATIVA PAPEIS DISTRIBUICAO LTDA ME";10610383;60119,41
"2685";"ITAPEL EMBALAGENS, INDUSTRIA E COMERCIO - EIRELI EPP";11393747;60109,76
"2686";"VESSEL METALURGICA LTDA ME";36532059;60072,38
"2687";"MOPRI TRANSPORTE LTDA";62408703;60044,85
"2688";"ENOTECA DOC COMERCIO DE BEBIDAS E ALIMENTOS EIRELI EPP";12441738;60019,71
"2689";"PANSPORT MATERIAIS ESPORTIVOS LTDA";8282798;59996,87
"2690";"STA DA SERRA INDUSTRIA DE MASSAS EIRELI";17259829;59993,21
"2691";"SR ENGENHARIA E COMERCIO DE ELETRICA EIRELI EPP";33543232;59869,24
"2692";"JRX PLAST INDUSTRIA E COMERCIO DE EMBALAGENS EIRELI";11930521;59794,79
"2693";"NEWCOMEX DO BRASIL TEXTEIS E BAZAR COM, IMPORT E EXPORT LTDA";17132987;59786,18
"2694";"SECTOR COMERCIO E SERVICOS LTDA EPP";107232;59774,57
"2695";"FARMATIVA INDUSTRIA E COMERCIO LTDA";40177263;59654,05
"2696";"P C DA SILVA CAETANO EIRELI ME";20905917;59651,31
"2697";"TROWER CALCADOS E COMPLEMENTOS LTDA";2066638;59632,29
"2698";"REFRIGERACAO GOLD ICE LTDA";42548800;59630,53
"2699";"MERCEARIA DAKY DO CATARINA LTDA ME";5413618;59615,62
"2700";"PORTUGA 160 RESTAURANTE EIRELI";25406272;59440,26
"2701";"LKL INDUSTRIA, COMERCIO E SERVICOS LTDA";5262906;59346,59
"2702";"ADEUZIANE BERTO SILVA COMERCIO E SERVICOS DE MANGUEIRAS ME";14506015;59246,53
"2703";"MICHAEL KORS DO BRASIL COMERCIO DE ACESSORIOS E VESTUARIO LTDA";13660719;59214,06
"2704";"LOOP 225 MODAS LTDA ME";2820689;59056,43
"2705";"NEWANE COMERCIO DE ROUPAS EIRELI";7230151;59019,84
"2706";"STM COMERCIO E SERVICOS DE USINAGEM E CALDEIRARIA LTDA";11397849;59004,82
"2707";"EXPRESSO UNIAO LTDA";19350180;58879,22
"2708";"M C PIRES COMERCIO DE ALIMENTOS LTDA";11323765;58807,62
"2709";"MERCADO IMPERIAL DO COSME VELHO LTDA";11325631;58721,26
"2710";"FRIGINOX INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA EPP";12475720;58606,81
"2711";"IRMAOS SARAFIAN LTDA";46056263;58572,13
"2712";"REVITEC DE CAXIAS EQUIPAMENTOS PETROLIFEROS LTDA";5762069;58532,03
"2713";"SWEET CORNER PRODUTOS ALIMENTICIOS LTDA";58351;58438,59
"2714";"ATELIER DE ACESSORIOS MARIANELA CARVALHO LTDA ME";3059181;58414,23
"2715";"OTICA GOLDEN DO BAIRRO LTDA ME";3265727;58350,23
"2716";"RODRIGUES E GODIM LTDA";1664919;58323,43
"2717";"RNJB ALIMENTACAO LTDA";17378649;58274,08
"2718";"MINIMERCADO WL N 2 LTDA";15714134;58252,35
"2719";"LOGISMARKET TRANSPORTES E LOCACOES LTDA";7921658;58118,17
"2720";"ENERGISA MINAS GERAIS-DISTRIBUIDORA DE ENERGIA S A";19527639;58056,15
"2721";"ELETRONAVAL INDUSTRIA E COMERCIO LTDA";40198780;58038,23
"2722";"TIAGO CRUZ DE OLIVEIRA COMERCIO DE ROUPAS - ME";15232262;57985,19
"2723";"PADARIA R J THIAGO LTDA";8826194;57953,86
"2724";"K LOG TRANSPORTES LTDA ME";12186855;57950,88
"2725";"SALIX INDUSTRIA E COMERCIO DE PLASTICOS EIRELI";21611917;57773,65
"2726";"INTEGRALMED COMERCIO E PRODUTOS LTDA";6256565;57687,67
"2727";"CRJB BAR E RESTAURANTE LTDA";6148592;57658,21
"2728";"EXPRESSO BRASSPEED TRANSPORTES E LOGISTICA DO BRASIL LTDA";19454096;57621,8
"2729";"OLEO HIDRAULICA COMERCIO INDUSTRIA E REPRESENTACOES LTDA";27711753;57593,39
"2730";"DELICIAS DA VIDA DOCES E SALGADOS FINOS LTDA";72064090;57537,94
"2731";"TENEDOR REFEICOES COLETIVAS LTDA";72506173;57424,07
"2732";"INTENSE NEGOCIOS EIRELI ME";13451525;57395,3
"2733";"R PIETRO CHOCOLATES EIRELI ME";13311059;57343,58
"2734";"ATOR COMERCIO DE PRODUTOS ELETRO-ELETRONICOS LTDA";11108019;57333,52
"2735";"YANN COMERCIO E INDUSTRIA LTDA";11581675;57314,86
"2736";"SUPERMERCADO LUCAS FORTE LTDA ME";10575417;57310,23
"2737";"DELLA SPIGA LINGERIE LTDA EPP";6087908;57298,33
"2738";"TERRAS DE AVENTURA INDUSTRIA DE ARTIGOS ESPORTIVOS S A";35943604;57292,38
"2739";"MULTIFORME TERESOPOLIS FERRAMENTARIA LTDA - ME";7189800;57273,56
"2740";"FENIX ETIQUETAS ADESIVAS ME";11309073;57171,92
"2741";"ENLIFE GROUP LTDA";9150058;57062,94
"2742";"SUPLICY CAFES ESPECIAIS GALEAO LTDA";26230002;57056,38
"2743";"APLLE RIO COMERCIO DE ALIMENTOS LTDA";8634824;57044,67
"2744";"OSTRATEC SERVICOS PETROLIFEROS LTDA";5133157;56970,86
"2745";"MECNOX INDUSTRIA E COMERCIO LTDA - ME";8367132;56919,47
"2746";"GALILEU GUEDES TORRES";3744162;56918,75
"2747";"LUMAR DE MACAE COMERCIO E REPRESENTACAO LTDA";31425242;56791,53
"2748";"PROFIL COMERCIO IMPORTACAO EXPORT & MONTAGENS INDUSTRIAIS LTDA";5660677;56766,6
"2749";"TRANSPORTES TONIATO LTDA";29291184;56762,73
"2750";"CHACO-SERRA INDUSTRIA MADEIREIRA EIRELI";11855166;56602,48
"2751";"FORTE DO GESSO COMERCIO VAREJISTA DE GESSO LTDA - EPP";15719013;56593,79
"2752";"OTICA POVAO LTDA";27872860;56589,46
"2753";"PRIMUS INDUSTRIA E COMERCIO DE PRE-MOLDADOS EIRELI EPP";32173700;56584,15
"2754";"GMD EMPREENDIMENTOS E PARTICIPACOES SOCIETARIAS LTDA";11782220;56563,12
"2755";"BEIJA FLOR TINTAS 2017 EIRELI";28660652;56552,39
"2756";"M DART EMBALAGENS E COMERCIO EPP";269880;56328,16
"2757";"ISOALFA TERMO ACUSTICO LTDA EPP";40419715;56304,83
"2758";"ETHOS 2007 - GESTAO EMPRESARIAL EIRELI ME";8951454;56284,51
"2759";"TRANSPEDROSA S/A";21849120;56261,25
"2760";"MADE PALET RIO LTDA ME";15802801;56211,94
"2761";"MB 5 COMERCIO IMPORTACAO E EXPORTACAO LTDA";6698001;56208,78
"2762";"SIDEX COMERCIO DE MATERIAL CIRURGICO LTDA-EPP";9436998;56192,57
"2763";"ELETRO MAQUINAS E FERRAGENS LTDA ME";36542934;56184,45
"2764";"TACIANA DECORACOES LTDA";9238034;56159,09
"2765";"LLG TRANSPORTES E LOCACOES LTDA EPP";14405171;56151,33
"2766";"HEBROM PLASTICO IND COMERCIO LTDA";1099358;56142,54
"2767";"MASSY DO BRASIL COMERCIO EXTERIOR LTDA";22849492;56105,64
"2768";"ROMA COMERCIO E INDUSTRIA LTDA";31125263;56037,77
"2769";"MEGALOG LOGISTICA E TRANSPORTES LTDA";10680229;56005,51
"2770";"VALENTE VEICULOS DE VILA VALQUEIRE LTDA";2726935;55959,75
"2771";"NAVTECH DO BRASIL COMERCIO REPRESENTACOES E SERVICOS LTDA EPP";11234444;55939,63
"2772";"HENLUZ - EIRELI";4209085;55921,07
"2773";"MAF - LOCACAO COMERCIO E TRANSPORTES LTDA";2133004;55854,48
"2774";"ILHOTE SUL DE MACAE RESTAURANTE LTDA ME";36291870;55805,79
"2775";"A T S TERCEIRO INDUSTRIA E COMERCIO ATACADISTA LTDA";9432893;55744,05
"2776";"ROMA FASHION COMERCIO DE ROUPAS LTDA EPP";17845719;55741,38
"2777";"TRANSCAPIXABA TRANSPORTE E COMERCIO LTDA";27347368;55711,77
"2778";"GIGAS PIZZARIA LTDA - EPP";14262120;55680,51
"2779";"CLICK 2013 INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA";18473266;55632,7
"2780";"RVT CONSTRUTORA LTDA";8996551;55627,16
"2781";"HOELZ E NOVAES PRODUTOS ALIMENTICIOS LTDA";26308330;55593,48
"2782";"ODISSEIA PRODUCOES ARTISTICAS LTDA";13656227;55588,73
"2783";"GALETO DE OURO RESTAURANTE LTDA";31685951;55498,56
"2784";"AGENA INDUSTRIA DE EQUIPAMENTOS DE PROTECAO LTDA";33181926;55386,83
"2785";"GELLO SORVETE E SORRISO LTDA";18210408;55303,44
"2786";"RASTRECALL REPRESENTACOES COMERCIAIS DE TELECOMUNICACOES LTDA";5053441;55239,03
"2787";"FAZENDA ABADIA LTDA";19703645;55205,87
"2788";"VPE EQUIPAMENTOS EIRELI - EPP";462501;55196,19
"2789";"START COMERCIO, IMPORTACAO E EXPORTACAO LTDA EPP";17487429;55067,9
"2790";"NUTRI VITTA COMERCIO DE REFEICOES E HORTIFRUTIGRANJEIROS LTDA -E";9620531;55024,97
"2791";"ROBOTECH TRANSPORTES SENSIVEIS LTDA-EPP";6219884;54986,72
"2792";"DUO COMESTIVEIS LTDA";12131062;54962,75
"2793";"PAPELARIA BERGAMINI LTDA";28357747;54953,25
"2794";"HERMANO'S ALIMENTOS LTDA";7651470;54888,23
"2795";"MAX PINK LTDA";14025853;54847,58
"2796";"FORTIORI IMPORT COMERCIO, IMPORTACAO E EXPORTACAO LTDA";13229708;54841,74
"2797";"BAZAR CHOU EIRELI - EPP";68670769;54764,38
"2798";"SUPERMERCADO DAMITEX LTDA";23740305;54746,74
"2799";"BISTRO DO ALMOCO RESTAURANTE E QUENTINHAS";17015654;54586,86
"2800";"M E M - 77 COMERCIO DE ROUPAS E ACESSORIOS LTDA ME";136142;54550,58
"2801";"LUMINA MATERIAIS DE CONSTRUCAO, ELETRICOS E HIDRAULICOS LTDA";21119233;54528,2
"2802";"H G F EXTRADA HIPER SHOPPING LTDA";4492129;54518,5
"2803";"CSM ILUKA BRASIL ORGANIZACAO DE EVENTOS LTDA";20068735;54429,51
"2804";"BABY KIDS ROUPAS DO CENTRO LTDA - ME";13073340;54428,09
"2805";"TARTARUGA COMERCIAL IMPORTADORA EXPORTADORA ARTIGOS DE MODA LTDA";22340540;54408,81
"2806";"CSRR SUPERMERCADOS LTDA";26490063;54353,32
"2807";"JFW TRANSPORTADORA LTDA EPP";25861063;54320,87
"2808";"CONFECCOES ESELMO LTDA";27622539;54262,1
"2809";"REI D'ALHO DISTRIBUIDORA,COMERCIO E INDUSTRIA LTDA ME";10859637;54241,94
"2810";"IDEA MASTER TECNOLOGIA IMPORTACAO E EXPORTACAO LTDA";10222815;54221,04
"2811";"WM RAMOS MAQUINAS & FERRAMENTAS LTDA ME";4407315;54114,18
"2812";"SSJ COM COMERCIO DE APARELHOS ELETRONICOS EIRELI EPP";14793543;54060,35
"2813";"CCL - CENTRAL DE CURATIVOS E PRODUTOS ESPECIALIZADOS EIRELI";2657061;54038
"2814";"MARIA MADALENA TIRADENTES ME";14128206;53998,22
"2815";"MAJC BRAZIL ENTRETENIMENTO ALIMENTOS E EVENTOS LTDA";5855293;53890,28
"2816";"TRANSPORTADORA CAPIVARI LTDA";44597524;53876,78
"2817";"JESEMG CABOS E ACOS LTDA";5367962;53786,68
"2818";"ENGEMAC RIO MAQUINAS EQUIPAMENTOS E SERVICOS LTDA";31332042;53771,01
"2819";"SITA INC DO BRASIL LTDA";3597703;53704,74
"2820";"BAZAR SOUZA AGUIAR LTDA";36455095;53613,14
"2821";"TRANSPORTES L J GIACOMIN LTDA";1454574;53569,34
"2822";"PION G PLUS LTDA ME";1675208;53434,63
"2823";"MARMORES E GRANITOS TIAS LTDA ME";3289094;53376,64
"2824";"LABORATORIOS CORPO & CHEIRO LTDA";12695474;53356,5
"2825";"STONERJ MAQUINAS E EQUIPAMENTOS LTDA";4285054;53266,24
"2826";"HAWAI 2010 COMERCIAL LTDA";11472955;53261,59
"2827";"4PIPE - ENGENHARIA INDUSTRIAL LTDA";8101524;53148,98
"2828";"NOVA LIDER COMERCIO DE MATERIAL DE CONSTRUCAO LTDA";7203776;53092,2
"2829";"ALJAC COMERCIO DE GENEROS ALIMENTICIOS LTDA ME";9516921;53083,74
"2830";"TRANSPORTADORA TRANSFINAL LTDA";31491590;52968,59
"2831";"POLEGAR ARMARINHO LTDA ME";2847407;52902,07
"2832";"SAMANTHA VIEIRA GOMES CRAVO & CIA LTDA - EPP";1977605;52850,29
"2833";"EVERY TIME COMERCIO DE ROUPAS LTDA";72414048;52747,42
"2834";"UNIPLASTIC COMERCIO E INDUSTRIA DE EMBALAGENS LTDA ME";17019079;52714,5
"2835";"SERRA COMERCIO AUTOMOTTIVO LTDA";15624478;52680,3
"2836";"ACOUGUE ZONA NORTE LTDA";33050865;52655,56
"2837";"LAPA 40 GRAUS SINUCA E GAFIEIRA LTDA";8960741;52642,58
"2838";"JWT MANEQUINS LTDA-ME";13196600;52546,31
"2839";"GUSTAVO DANIEL SANCHEZ";11708891;52543,25
"2840";"DISBEL DISTRIBUIDORA DE COSMETICOS LTDA";20731348;52482,53
"2841";"SARRAFF 332 MOVEIS E DECORACOES EIRELI EPP";4096015;52441,96
"2842";"CHAMPION HOTEL LTDA";30847172;52423,98
"2843";"VERTICAL RIGGING SOLUTIONS IMPORTACAO E EXPORTACAO LTDA";13490887;52420,41
"2844";"MERCADO NASCIMENTO DE ITACURUCA LTDA";9103047;52351,48
"2845";"FB PERFUMARIA LTDA";7436261;52249,07
"2846";"RODA VIVA DISTRIBUIDORA DE ALIMENTOS LTDA";10546095;52156,21
"2847";"A NASCIMENTO E FILHOS MINIMERCADO LTDA";12081484;52075,42
"2848";"SEQUEIRA RIO FERRAMENTAS LTDA";13040672;52003,72
"2849";"JMF TRANSPORTES LTDA";64778301;51948,44
"2850";"SANED TRANSPORTES LTDA";398219;51913,66
"2851";"ALRAN COMERCIO E REPRESENTACOES DE MATERIAL MEDICO HOSPITALAR LT";4645760;51872,5
"2852";"VITORIOSA DE COPACABANA COMERCIO DE COLCHOES LTDA";7637714;51617,9
"2853";"CARGO TRANSPORTES RODOVIARIOS LTDA";45233848;51492,62
"2854";"TFI DO BRASIL COMERCIAL E IMPORTADORA LTDA";100408;51432,62
"2855";"DOXS LOGISTICA INTEGRADA LTDA";10329139;51389,33
"2856";"MHM DISTRIBUIDORA DE ALIMENTOS LTDA";7427095;51367,11
"2857";"MERCADO L & B DO GOUVEIA LTDA";11676107;51363,65
"2858";"DILON LATICINIOS LTDA ME";13285258;51362,49
"2859";"SOLMAR VELACOR LTDA";3577366;51346,36
"2860";"ENGEVIX SISTEMAS DE DEFESA LTDA";17633309;51327,49
"2861";"NUTRIBABY INDUSTRIA DE ALIMENTOS LTDA ME";8613968;51225,49
"2862";"SAFEWAY MOTOS LTDA";32224651;51197,69
"2863";"PASTIFICIO PETROPOLIS INDUSTRIA E COMERCIO LTDA";5019639;51197,48
"2864";"PANNUS CRIACOES ARTISTICAS LTDA ME";14990794;51140,49
"2865";"PET BISTRO ALIMENTOS LTDA - EPP";12449565;51048,22
"2866";"AGROINDUSTRIAL DA PROVINCIA SERRANA LTDA";2705220;50988,23
"2867";"AREMIX DISTRIBUIDORA DE MINERAIS E LOCACAO DE MAQUINAS LTDA - ME";12841338;50979,81
"2868";"METAPLAST INDUSTRIA E COMERCIO DE PLASTICOS EIRELI";12091571;50901,87
"2869";"BENEDITO BUENO SOROCABA LTDA ME";555282;50795,18
"2870";"L L L HAMBURGAO COMERCIO DE LATICINIOS LTDA ME";8892261;50775,77
"2871";"MAVESA MARACANA VEICULOS LTDA";30755219;50764,54
"2872";"KATANIA COMERCIO DE BEBIDAS E ALIMENTOS LTDA";8207717;50749,22
"2873";"AUTO POSTO CANCUN 2000 COMBUSTIVEIS LTDA";4040475;50627,49
"2874";"TECIDOS MOREIRA MELLO LTDA ME";2393731;50605,28
"2875";"D' IGOR MERCEARIA LTDA ME";7532975;50565,35
"2876";"CAFE BOM DIA PRACA DA BANDEIRA LTDA";3815429;50560,93
"2877";"AMERICAS FOOD 207 RESTAURANTE LTDA";20397059;50483,22
"2878";"RODOGARCIA TRANSPORTES RODOVIARIOS LTDA";60960473;50471,28
"2879";"ROSMAX COMERCIAL DE ALIMENTOS LTDA EPP";11783318;50451,25
"2880";"MERCADO REAL DE NOVA CAMPINAS LTDA";334392;50425,39
"2881";"ADRIANE PEIXOTO ROSA ME";2186308;50310,78
"2882";"LMP ATACAREJO - EIRELI";26421190;50259,4
"2883";"ANDORRA SERVIÇOS - LIMITADA";5038652;50247,05
"2884";"QUIMITEC PRODUTOS QUIMICOS LTDA";29126752;50243,69
"2885";"SAVVY OFFSHORE ENGENHARIA E COMERCIO LTDA";1202401;50175,64
"2886";"PARATI KM 19 LOGISTICA E TRANSPORTES LTDA";5969581;50090,86
"2887";"EMPORIO DAS FRUTAS E LEGUMES LTDA";12536872;50077,59
"2888";"AGUIA BRANCA LOGISTICA LTDA";2199383;50025,19
"2889";"VIACAO SERTANEJA LTDA";16505190;50010,12
"2890";"LATICINIOS BELACAP LTDA";33353905;49992,53
"2891";"PICORELLI S A TRANSPORTES";21570775;49958,37
"2892";"MARINE INDUSTRIA E COMERCIO DE TINTAS LTDA";11250670;49940
"2893";"FONTAINE DE SANTE ALIMENTOS LTDA";1695404;49895,76
"2894";"C A SALES PANIFICACAO";5846145;49892,8
"2895";"ITAUNA COMERCIO DE CARNES LTDA";17712968;49886,58
"2896";"ALUMITEMPER SERVICOS E ESQUADRIAS LTDA ME";7271495;49882,11
"2897";"CARRIERWEB-BR SOLUCOES TECNOLOGICAS LTDA";7365036;49881,55
"2898";"SUNMASTER DO BRASIL EIRELI - EPP";4916742;49639,34
"2899";"KING DISTRIBUIDORA DE EMBALAGENS, POLIETILENO E PAPEL EIRELI";20830563;49487,36
"2900";"CALCADOS ITAPUA S/A CISA";27177096;49415,66
"2901";"TECNOWOLF COMERCIO LTDA";6236679;49409,42
"2902";"ANDRELLA COMERCIO DE ROUPAS LTDA ME";2239032;49358,69
"2903";"RADIAL OESTE - COMERCIO DE COMBUSTIVEIS EIRELI - EPP";40343931;49293,75
"2904";"PINOFIX INDUSTRIA E COMERCIO LTDA EPP";68595222;49282,59
"2905";"BOMBONIERE SPECIAL COFFE LTDA-ME";11779598;49218,48
"2906";"TRANSPORTES GRECCO S/A";57543795;49140,26
"2907";"JGX INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS PARA CONSTRUCAO CI";12226638;49059,39
"2908";"COMFORT AIR COMERCIO E SERVICOS DE REFRIGERACAO EIRELI ME";10979791;48947,24
"2909";"WS DE CAMPO GRANDE MOLDES E PECAS PLASTICA LTDA";73287021;48878,23
"2910";"GINGA INDUSTRIA E COMERCIO DE VESTUARIO LTDA";30887194;48875,18
"2911";"SIQUER SUCOS LTDA";3278200;48868,86
"2912";"ARTLUX BRASIL DISTRIBUIDORA LTDA";11188717;48823,59
"2913";"ENGEFER DISTRIBUIDORA EIRELI";940525;48770,62
"2914";"JACQUARD TECIDOS LIMITADA EPP";30625552;48758,6
"2915";"ROQUINHA DA TIJUCA LANCHES BAR LTDA";33737743;48660,76
"2916";"MERCADO NOVO BOA ESPERANCA LTDA ME";12263287;48655,92
"2917";"ARAUJO E ALMEIDA PRODUTOS ALIMENTICIOS LTDA";12085234;48632,91
"2918";"E G CARVALHO COMERCIO DE SOLDAS E METAIS EPP";7781056;48613,22
"2919";"A & F FAMILE COMERCIO E REPRESENTACAO LTDA ME";183579;48546,48
"2920";"COMERCIAL VENCINI LTDA EPP";5598795;48508,05
"2921";"MMP 2002 COMERCIO DE ROUPAS LTDA";5078363;48497,46
"2922";"AGROBOM PRODUTOS AGROPECUARIOS LTDA";29276367;48273,91
"2923";"MERCADO JPCC DE PARATY EIRELI - ME";11355828;48248,91
"2924";"EMPRESA DE MINERACAO FONTE LIMPA LTDA";27945740;48248,25
"2925";"MR BAG RIO MAGAZINE LTDA ME";10193760;48208,43
"2926";"MERCADO DO GRECCO 393 LTDA";1529720;48183,28
"2927";"DIESEL LINE CAMBUI LTDA - EPP";1447279;48164,45
"2928";"LANCHONETE E RESTAURANTE RIVAL FLANT LTDA";27957216;48116,86
"2929";"EVALDO FERREIRA FREITAS";29919883;48090,08
"2930";"MEDLASER COMERCIO E DISTRIBUICAO DE MAT CIRURGICOS LTDA EPP";21235902;48086,23
"2931";"PE DA FRUTA LANCHES E SUCOS EIRELI ME";4901291;48049,67
"2932";"MARIA DO AMARAL VIEIRA CONFECCOES";17370943;47963,81
"2933";"AMALU INDUSTRIA E COMERCIO LTDA";2645774;47897,89
"2934";"R L DE OLIVEIRA - MERCADINHO LTDA - ME";11074872;47848,27
"2935";"BAR E BOTEQUIM GRUPO DPK EIRELI ME";24977681;47796,03
"2936";"FAMEX RIO COMERCIO DE GAS CARBONICO E EQUIPAMENTOS DE COMBATE A";7836548;47769,69
"2937";"HORTO DE CABO FRIO RAIZES LTDA ME";5195981;47765
"2938";"MARMORANGRA MARMORES E GRANITOS LTDA ME";971116;47752,42
"2939";"GOTASQUIMICA INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA";35934207;47709,28
"2940";"QUELIGHT COMERCIO DE ALIMENTOS LTDA";5215724;47676,22
"2941";"GONZALO BAR E RESTAURANTE EIRELI EPP";13265882;47632,31
"2942";"FOREST TRADE COMERCIO SERVICOS ,IMPORTACAO E EXPORTACAO LTDA";2003668;47619,11
"2943";"SFR BROS PRESENTES LTDA ME";1586723;47613,34
"2944";"COL CENTRO OESTE LOGISTICA LTDA";10307895;47592,96
"2945";"VIDAPURA PRODUTOS NATURAIS LTDA";7442852;47586,29
"2946";"MATRIX ARAMADOS COMERCIO DE VIDROS MODULADOS E BAZAR LTDA ME";16622732;47554,19
"2947";"MEDLEVENSHON COM E REPR DE PRODUTOS HOSPITALARES LTDA";5343029;47525,32
"2948";"FELIX & RIBEIRO COMERCI, LOGISTICA E REPRESENTACOES LTDA ME";10981188;47490,11
"2949";"FONTE DE LUZ PRODUTOS DESCARTAVEL HIGIENICO E LIMPEZA LTDA ME";9251284;47484,31
"2950";"BRAGALANTE COMERCIO DE CONDUTORES ELETRICOS 12 EIRELI";13649630;47478,75
"2951";"ATREVIDA TRANSPORTES LTDA";30947006;47415,33
"2952";"R N MESQUITA FABRICACAO DE SALGADOS DE INHAUMA - EIRELI ME";15659692;47401,36
"2953";"WANA RIO EQUIPAMENTOS DE PROTECAO INDIVIDUAL EIRELI";6225648;47386,63
"2954";"INDUSTRIAL BRENNEKE CONFECCOES UNIFORMES E EQUIPAMENTOS DE SEGUR";11681880;47354,58
"2955";"EUROFLEX INDUSTRIA E COMERCIO DE COLCHOES LTDA";10175924;47352,61
"2956";"RAPIDO MARAJO LTDA";1017201;47344,95
"2957";"MEZZALIRA COMERCIO E IMPORTACAO LTDA-ME";7341362;47257,78
"2958";"SALADA GOURMET LANCHONETE LTDA - EPP";31207772;47241,01
"2959";"NOVA UNIAO LOGISTICA E TRANSPORTES LTDA";8168884;47211,84
"2960";"LEMOS INDUSTRIA DE MOVEIS LTDA";28931301;47203,3
"2961";"SKY BARROS MOTORS VEICULOS LTDA";5946859;47154,31
"2962";"BIZOCA BABY COMERCIO DE ARTIGOS INFANTIS LTDA ME";16527147;46955,51
"2963";"MENDES RIBEIRO COMERCIO DE PRODUTOS SIDERURGICOS, TRANSPORTES E";4881960;46915,15
"2964";"CELLSHOW SERVICOS EM TELECOMUNICACOES EIRELI";7594569;46860,05
"2965";"SUPER MERCADO AMOR DA ZONA NORTE LTDA";5618388;46813,56
"2966";"MULTPLAX INDUSTRIA E DISTRIBUICAO EIRELI ME";10527168;46798,82
"2967";"VITORIA REGIA ALIMENTOS LTDA";3572400;46797,86
"2968";"CRISTALLE INTERIORES LTDA";17320303;46793,07
"2969";"FRUGALE REFEICOES SAUDAVEIS LTDA";10944027;46756,09
"2970";"DD GELATO BRAZIL COMERCIO DE ALIMENTOS EIRELI";17918233;46713,54
"2971";"MERCADO DE CARNES REI DO AMORIM LTDA";10336632;46712,46
"2972";"M G T VIEIRA AVIARIO E MERCEARIA ME";39131040;46653,85
"2973";"CECAP TRANSPORTES LTDA";2523190;46642,33
"2974";"MERCEARIA E PADARIA JOPAG LTDA ME";11718944;46576,23
"2975";"IVOLINE COMERCIO DE PEDRAS DECORATIVAS LTDA";7033612;46558,46
"2976";"A C DA TRINDADE ALIMENTOS LTDA";5462074;46557,04
"2977";"VIVEIROS E MUNIZ VETERINARIA LTDA";10670055;46554,86
"2978";"MERCEARIA KARIOKINHA DE SANTO ELIAS LTDA ME";31970809;46521,64
"2979";"DOCE MENTA LINGERIE LTDA";97530000;46490,21
"2980";"HIPERMETAL COMERCIO DE ARTIGOS DE METAIS E ROUPAS EIRELI EPP";20983096;46406,31
"2981";"STUDIO ALPHA LTDA ME";32552176;46340,06
"2982";"PENSAO FOLHAS E AMENDOAS LTDA ME";39089396;46331,91
"2983";"NOTA MUSICAL COMERCIO DE INSTRUMENTO LTDA";3711167;46296,06
"2984";"SANTO S CRUZEIRO INDUSTRIA E COMERCIO DE VELAS LTDA ME";73932857;46261,84
"2985";"CONFEITARIA RITA DE CASSIA LTDA";34079186;46256,95
